filename,heteroatom,bond_angle[deg],scf_energy[hartree],bond_length[angstrom],ir_frequency[wavenumbers],force_constant[mg/s^2],carbon_partial_charge[-],heteroatom_partial_charge[-],homo_energy[hartree],somo-a_energy[hartree],somo-b_energy[hartree],lumo_energy[hartree],lumo+1_energy[hartree],lumo+2_energy[hartree],homo-1_energy[hartree],homo-2_energy[hartree],homo-3_energy[hartree],homo-4_energy[hartree],homo-5_energy[hartree],homo-6_energy[hartree],homo-7_energy[hartree],homo-8_energy[hartree],homo-9_energy[hartree],homo-10_energy[hartree],homo-11_energy[hartree],homo-12_energy[hartree],homo-13_energy[hartree],homo-14_energy[hartree],homo-15_energy[hartree]
CF3_radical_95.0_degrees.out,F,95.0000095665397,-337.56705055099997,1.3691708865769838,958.2,398.0754480690017,0.528367,-0.17612233333333335,-13.953032249470727,-12.83901175121625,-3.36574900544945,2.093956896675075,2.7732210959856998,2.7732210959856998,-14.283827451831051,-14.284562159227402,-16.070350120211224,-16.070486177136477,-18.311180467693674,-19.013941697994973,-19.0141185719978,-22.497570423481026,-36.44960945739743,-36.451568677121024,-39.61871538878305,-287.5753458797175,-675.7294131812449,-675.7295220267852,-675.7318349945144
CF3_radical_95.5_degrees.out,F,95.50000380923639,-337.570748755,1.3666366853845842,969.94,407.88975691855273,0.529736,-0.1765783333333333,-13.9849648098269,-12.7720989553783,-3.2908360624068003,2.095263043157475,2.7895207156306503,2.7895207156306503,-14.325869041733299,-14.32660374912965,-16.0845952802849,-16.084717731517625,-18.3228405461876,-19.047602181301826,-19.047792660997175,-22.501978667859124,-36.4901408154294,-36.49207282376795,-39.6387157567948,-287.5435493762866,-675.7473318783004,-675.7474679352256,-675.7497128744922
CF3_radical_96.0_degrees.out,F,95.99999306587408,-337.574345436,1.3641690423525252,981.51,417.6788813016564,0.53104,-0.17701333333333333,-14.016693284795199,-12.704505874914101,-3.21548773720335,2.0964603440996754,2.80416044078755,2.80416044078755,-14.367652123477576,-14.368332408103825,-16.09855472081555,-16.0986907777408,-18.334255722216078,-19.08070483121515,-19.0808953109105,-22.506332489467123,-36.530318425455725,-36.53218240533165,-39.65789978325505,-287.5119977753211,-675.7651961525858,-675.7653186038185,-675.7674683032374
CF3_radical_96.5_degrees.out,F,96.49999248753825,-337.577840635,1.3617637131342557,992.9,427.42909480374743,0.532281,-0.17742733333333335,-14.0482040686831,-12.63617808705355,-3.1397040298391,2.09758961657925,2.81727632838165,2.81727632838165,-14.409176697063877,-14.409802558920028,-16.112255653188225,-16.112391710113474,-18.345466812856674,-19.113290464812525,-19.1134401274303,-22.510631888305028,-36.5701422874764,-36.57187021042708,-39.676308285241376,-287.4807182882061,-675.7829923984084,-675.7831284553337,-675.7851012807498
CF3_radical_97.0_degrees.out,F,97.00000701789348,-337.58123428199997,1.3594201813779083,1004.16,437.1785997324459,0.533448,-0.17781599999999997,-14.079483555798074,-12.56711559179665,-3.063457728929,2.098637254903675,2.829018041030725,2.829018041030725,-14.450415551107149,-14.450946173115625,-16.1256844717104,-16.125834134328176,-18.3564738181094,-19.1453318707089,-19.145440716249098,-22.514849652987774,-36.60962600718395,-36.6111226333617,-39.69396847413883,-287.44971091494165,-675.800734221461,-675.8008702783862,-675.802598201337
CF3_radical_97.5_degrees.out,F,97.50000875574045,-337.584526366,1.357136456194598,1015.23,446.8707665796414,0.534563,-0.17818766666666666,-14.110518140447601,-12.4973183891434,-2.98674883447305,2.0996032590729503,2.8394944242749753,2.8394944242749753,-14.491355079914875,-14.491790462075674,-16.138868387767126,-16.1390180503849,-18.367263132281728,-19.176856260289327,-19.176897077366903,-22.5189993892079,-36.64874237319333,-36.64996688552058,-39.710893955639925,-287.4189076270651,-675.818408016051,-675.8185440729762,-675.8199454593063
CF3_radical_98.0_degrees.out,F,98.00002793959834,-337.587716778,1.3549112275844861,1026.14,456.5268172983721,0.535611,-0.17853666666666668,-14.141335034016725,-12.4267320563237,-2.90952292370115,2.10047402339455,2.8488143236546,2.8488143236546,-14.532036100564627,-14.532308214415124,-16.151780189973348,-16.15194345828365,-18.3778619667587,-19.20783642216875,-19.207850027861276,-22.523094702657925,-36.687518596889575,-36.68836214982613,-39.727098335437205,-287.38836284734646,-675.8360001764859,-675.8361634447961,-675.8371566603505
CF3_radical_98.5_degrees.out,F,98.49999221914051,-337.590805329,1.3527435005332265,1036.89,466.1422109143463,0.536588,-0.1788626666666667,-14.171920630812926,-12.35535659333755,-2.8317799966133004,2.1012359421759497,2.857100190402325,2.857100190402325,-14.5724041902863,-14.57248582444145,-16.1644334840216,-16.164596752331903,-18.388256715847803,-19.238217933577076,-19.238340384809803,-22.527121987645323,-36.72594107258018,-36.72630842627835,-39.7425544021456,-287.3580629700932,-675.853524308458,-675.8537011824609,-675.8542045930842
CF3_radical_99.0_degrees.out,F,98.99998165115706,-337.59379183699997,1.35063206180921,1047.5,475.7306392003777,0.537494,-0.17916466666666664,-14.202247719451151,-12.283164788799901,-2.75349284182445,2.1019026211096747,2.8644336586733004,2.8644336586733004,-14.612350503539698,-14.612486560464951,-16.17681466421935,-16.176977932529653,-18.398447379549026,-19.2680552172844,-19.268313725442376,-22.531040427092528,-36.76379210918472,-36.7639961945726,-39.757330184227754,-287.32799438961297,-675.8709259891975,-675.8711436802779,-675.8711572859704
CF3_radical_99.5_degrees.out,F,99.49997452627004,-337.596676184,1.3485761017754074,1058.22,485.5176139305792,0.538336,-0.179445,-14.232316299931401,-12.21015664271075,-2.6746614593346,2.102474060195725,2.870869151237625,2.870869151237625,-14.651875040324825,-14.652255999715525,-16.18895094195165,-16.189100604569425,-18.4084475635549,-19.297375484675776,-19.297783655451525,-22.5348908380771,-36.8008404099303,-36.801670357174324,-39.77135765322103,-287.298089077443,-675.887810653621,-675.8884637268623,-675.8885997837874
CF3_radical_100.0_degrees.out,F,99.99999785674498,-337.59945753900007,1.3465747186552715,1068.82,495.2930149340645,0.539098,-0.17969933333333332,-14.262126372253675,-12.13630494368505,-2.5952314263736502,2.102936653741575,2.8765019079429752,2.8765019079429752,-14.691059434796825,-14.6916989023455,-16.200787894448396,-16.200937557066176,-18.418216450787853,-19.32615152436615,-19.326722963452198,-22.538646009214,-36.83742611713002,-36.8389363490003,-39.78469123189552,-287.2685239075862,-675.9044095985015,-675.9057565620615,-675.9058790132942
CF3_radical_100.5_degrees.out,F,100.50001599921727,-337.60213561200004,1.3446215396846917,1079.28,505.0348156066547,0.539787,-0.179929,-14.2916371193404,-12.061528057567651,-2.51517553155655,2.1032767960547,2.8814135629445,2.8814135629445,-14.729890081263175,-14.730760845584776,-16.21235273309465,-16.212488790019897,-18.427849281095547,-19.35445136481815,-19.35515886082945,-22.542305940503226,-36.873644470631575,-36.875726141587904,-39.79742616009892,-287.23920364019483,-675.9209405149195,-675.9227636777177,-675.9229133403355
CF3_radical_101.0_degrees.out,F,101.00002146508439,-337.60471018600003,1.3427289369646385,1089.6,514.739206482978,0.540398,-0.1801326666666667,-14.3209165696542,-11.9859076185137,-2.4345481976534002,2.103480881442575,2.88563132762725,2.88563132762725,-14.76840779680145,-14.769537069281025,-16.2236454578904,-16.2237543034306,-18.43720999755275,-19.3821797661841,-19.3830505305057,-22.54585702625225,-36.909345807817175,-36.91209415770723,-39.80931753536578,-287.2100874581913,-675.9373489801045,-675.9398116104516,-675.9399612730695
CF3_radical_101.5_degrees.out,F,101.49997782541048,-337.60718054,1.3408892821482186,1099.79,524.4119656250467,0.540934,-0.18031133333333335,-14.349937511810026,-11.909361992368051,-2.353240579124,2.10357612129025,2.889209624761325,2.889209624761325,-14.806571764334075,-14.80797315066415,-16.2346388574506,-16.234734097298276,-18.44635302292955,-19.409377545541574,-19.41039797248095,-22.549299266461073,-36.94458455145693,-36.948013185973224,-39.82051502031385,-287.18120257296073,-675.9536213883645,-675.9567370919527,-675.956900360263
CF3_radical_102.0_degrees.out,F,101.99998457932226,-337.60954603399995,1.339100351929347,1108.91,533.1453913100252,0.541391,-0.18046366666666666,-14.378672734422825,-11.831863967745651,-2.2712798873534,2.103535304212675,2.892202877116825,2.892202877116825,-14.84438198386105,-14.846041878349098,-16.245346537467775,-16.2454145659304,-18.45527835722595,-19.4360583085831,-19.437228398140252,-22.552646266822226,-36.97938791293588,-36.983442409308324,-39.83101861494315,-287.152521773118,-675.9698257681616,-675.9735265165286,-675.9737033905313
CF3_radical_102.5_degrees.out,F,102.49995605945401,-337.61180598799996,1.337363913277642,1118.08,541.9994146429416,0.541764,-0.18058799999999997,-14.407108631800076,-11.753331910491351,-2.18858448818645,2.103344824517325,2.894651901771325,2.894651901771325,-14.881838455382375,-14.883743252335876,-16.255741286556876,-16.255795709326975,-18.4639587890569,-19.462194843923626,-19.463487384713503,-22.555829998873072,-37.01371507517645,-37.01835461632747,-39.840773896483576,-287.123936213123,-675.9858804853412,-675.9901662784865,-675.9903431524895
CF3_radical_103.0_degrees.out,F,102.99998829359417,-337.61395957300005,1.3356774516136412,1127.6,551.2685212924703,0.542052,-0.18068433333333334,-14.435245203941776,-11.6738474547603,-2.10515438162315,2.103018287896725,2.8965975158023998,2.8965975158023998,-14.9189683902831,-14.9210364555469,-16.265836710410426,-16.265891133180524,-18.472462346885024,-19.487827968640723,-19.489215749278273,-22.558959308153824,-37.047661278026325,-37.05273620133815,-39.84986249909028,-287.0957044011336,-676.0019488082132,-676.0066563778269,-676.0068196461372
CF3_radical_103.5_degrees.out,F,103.49999588952521,-337.6160059289999,1.33404108683005,1137.05,560.5471962191483,0.542258,-0.18075266666666664,-14.463109662232977,-11.59327454362725,-2.0209895676635,2.10254208865835,2.898053324902575,2.898053324902575,-14.9557581828707,-14.95796230505975,-16.275632809028423,-16.275687231798525,-18.480707396555175,-19.512944077041873,-19.514386280449525,-22.56191174343175,-37.08119931010045,-37.08653274157025,-39.8582572113782,-287.06767667453215,-676.0180035253927,-676.0229559974719,-676.0231192657822
CF3_radical_104.0_degrees.out,F,104.00000138067752,-337.617944006,1.3324547709818582,1146.4,569.8038959623193,0.542375,-0.18079166666666668,-14.4906611895961,-11.51164038847725,-1.93600841215235,2.10188901541715,2.8990601461494254,2.8990601461494254,-14.992207833145176,-14.994466378104327,-16.285102371025822,-16.285129582410875,-18.488721149452402,-19.537543169127076,-19.539012583919778,-22.56474172747695,-37.114315565706306,-37.11974423702378,-39.8659308219623,-287.0397986105485,-676.0340174254947,-676.0390515317289,-676.0392284057317
